Pali Text,English Translation,Contexts,Usage Count
Appamādavaggo,,Vagga Title: sn.5.2/Section 270 | Vagga Title: sn.5.3/Section 429,2
Assājānīyasuttaṃ,,Section Title: an5.21/Section 203 | Section Title: an3.14/Section 143,2
Ayonisomanasikārasuttaṃ,,Section Title: sn.5.2/Section 205 | Section Title: sn.5.2/Section 216,2
Aññatitthiyasuttaṃ,,Section Title: sn.2.1/Section 24 | Section Title: an3.7/Section 69,2
Aṅgasuttaṃ,,Section Title: sn.5.11/Section 1046 | Section Title: sn.4.3/Section 308,2
Balasuttaṃ,,Section Title: sn.4.9/Section 374 | Section Title: an5.21/Section 204,2
Balādisuttadvādasakaṃ,,Section Title: sn.5.3/Section 439 | Section Title: sn.5.6/Section 705,2
Bandhanasuttaṃ,,Section Title: sn.1.1/Section 65 | Section Title: sn.1.3/Section 121,2
Bhāvanāsuttaṃ,,Section Title: sn.5.3/Section 405 | Section Title: an7.7/Section 71,2
Bojjhaṅgasuttaṃ,,Section Title: sn.4.9/Section 375 | Section Title: an7.3/Section 26,2
Bāhiyasuttaṃ,,Section Title: sn.5.3/Section 381 | Section Title: sn.4.1/Section 89,2
Cakkavattisuttaṃ,,Section Title: sn.5.2/Section 223 | Section Title: an3.2/Section 14,2
Cakkhusuttaṃ,,Section Title: sn.2.7/Section 188 | Section Title: sn.2.7/Section 198,2
Candanasuttaṃ,,Section Title: sn.1.2/Section 96 | Section Title: sn.4.6/Section 342,2
Catutthavaggo,,Vagga Title: sn.2.3/Section 114 | Vagga Title: sn.2.6/Section 180,2
Caṅkamasuttaṃ,,Section Title: sn.2.3/Section 99 | Section Title: an5.3/Section 29,2
Channasuttaṃ,,Section Title: sn.4.1/Section 87 | Section Title: an3.8/Section 72,2
Chetvāsuttaṃ,,Section Title: sn.1.1/Section 71 | Section Title: sn.1.11/Section 267,2
Cīvarasuttaṃ,,Section Title: sn.2.5/Section 154 | Section Title: an5.19/Section 182,2
Daliddasuttaṃ,,Section Title: sn.5.2/Section 227 | Section Title: sn.1.11/Section 260,2
Daṇḍasuttaṃ,,Section Title: sn.5.12/Section 1103 | Section Title: sn.2.4/Section 132,2
Dukkarasuttaṃ,,Section Title: sn.1.1/Section 17 | Section Title: sn.4.5/Section 331,2
Dukkhasuttaṃ,,Section Title: sn.5.2/Section 253 | Section Title: sn.2.1/Section 43,2
Dutiyagilānasuttaṃ,,Section Title: sn.5.2/Section 196 | Section Title: sn.4.1/Section 75,2
Dutiyamārapāsasuttaṃ,,Section Title: sn.1.4/Section 141 | Section Title: sn.4.1/Section 115,2
Dutiyanatumhākaṃsuttaṃ,,Section Title: sn.4.1/Section 102 | Section Title: sn.4.1/Section 139,2
Dutiyaphalasuttaṃ,,Section Title: sn.5.4/Section 536 | Section Title: sn.5.7/Section 838,2
Dutiyasamuddasuttaṃ,,Section Title: sn.2.2/Section 81 | Section Title: sn.4.1/Section 229,2
Dutiyasaññāsuttaṃ,,Section Title: an5.7/Section 62 | Section Title: an7.5/Section 49,2
Dutiyavibhaṅgasuttaṃ,,Section Title: sn.5.4/Section 480 | Section Title: sn.5.4/Section 507,2
Dutiyaānandasuttaṃ,,Section Title: sn.5.7/Section 840 | Section Title: sn.4.2/Section 264,2
Esanādisuttadasakaṃ,,Section Title: sn.5.3/Section 451 | Section Title: sn.5.5/Section 685,2
Gahapativaggo,,Vagga Title: sn.2.1/Section 41 | Vagga Title: sn.4.1/Section 124,2
Gaṅgānadīādisuttadvādasakaṃ,,Section Title: sn.5.3/Section 417 | Section Title: sn.5.7/Section 845,2
Ghaṭīkārasuttaṃ,,Section Title: sn.1.1/Section 50 | Section Title: sn.1.2/Section 105,2
Gilānavaggo,,Vagga Title: sn.5.2/Section 192 | Vagga Title: sn.4.1/Section 74,2
Hatthakasuttaṃ,,Section Title: an3.13/Section 128 | Section Title: an3.4/Section 35,2
Jarāmaraṇasuttaṃ,,Section Title: sn.2.1/Section 71 | Section Title: sn.1.3/Section 114,2
Jarāvaggo,,Vagga Title: sn.5.4/Section 511 | Vagga Title: sn.1.1/Section 51,2
Jaṭāsuttaṃ,,Section Title: sn.1.1/Section 23 | Section Title: sn.1.7/Section 192,2
Jāṇussoṇisuttaṃ,,Section Title: sn.2.1/Section 47 | Section Title: an3.6/Section 60,2
Khandhasuttaṃ,,Section Title: sn.5.12/Section 1083 | Section Title: sn.2.7/Section 197,2
Kimilasuttaṃ,,Section Title: an5.21/Section 201 | Section Title: an7.6/Section 59,2
Kodhanasuttaṃ,,Section Title: sn.4.3/Section 284 | Section Title: an7.6/Section 64,2
Kokālikasuttaṃ,,Section Title: sn.1.6/Section 178 | Section Title: sn.1.6/Section 181,2
Kūṭasuttaṃ,,Section Title: sn.2.9/Section 223 | Section Title: an5.2/Section 12,2
Kūṭāgārasuttaṃ,,Section Title: sn.5.12/Section 1114 | Section Title: sn.5.2/Section 188,2
Maccharisuttaṃ,,Section Title: sn.1.1/Section 32 | Section Title: sn.1.1/Section 49,2
Maccharīsuttaṃ,,Section Title: sn.4.3/Section 287 | Section Title: an5.23/Section 224,2
Maggasuttaṃ,,Section Title: sn.5.3/Section 409 | Section Title: sn.5.7/Section 833,2
Mallikāsuttaṃ,,Section Title: sn.1.3/Section 119 | Section Title: sn.1.3/Section 127,2
Muṭṭhassatisuttaṃ,,Section Title: sn.4.3/Section 292 | Section Title: an5.21/Section 210,2
Mātugāmasuttaṃ,,Section Title: sn.2.6/Section 170 | Section Title: sn.4.3/Section 280,2
Mātusuttaṃ,,Section Title: sn.2.4/Section 137 | Section Title: sn.2.6/Section 186,2
Nakhasikhasuttaṃ,,Section Title: sn.5.12/Section 1121 | Section Title: sn.2.9/Section 224,2
Nandanasuttaṃ,,Section Title: sn.1.1/Section 11 | Section Title: sn.1.2/Section 95,2
Nandasuttaṃ,,Section Title: sn.2.10/Section 242 | Section Title: sn.1.2/Section 108,2
Nandatisuttaṃ,,Section Title: sn.1.1/Section 12 | Section Title: sn.1.4/Section 144,2
Nidānasuttaṃ,,Section Title: sn.2.1/Section 60 | Section Title: an3.4/Section 34,2
Nirayasuttaṃ,,Section Title: an5.15/Section 145 | Section Title: an5.18/Section 173,2
Nirodhasuttaṃ,,Section Title: sn.5.2/Section 257 | Section Title: an5.17/Section 166,2
Oghādisuttaṃ,,Section Title: sn.5.2/Section 302 | Section Title: sn.5.9/Section 967,2
Pabbatasuttaṃ,,Section Title: sn.2.2/Section 82 | Section Title: sn.2.4/Section 128,2
Paccayasuttaṃ,,Section Title: sn.2.1/Section 20 | Section Title: sn.2.1/Section 27,2
Pajjotasuttaṃ,,Section Title: sn.1.1/Section 26 | Section Title: sn.1.1/Section 80,2
Parisāsuttaṃ,,Section Title: an3.10/Section 96 | Section Title: an3.14/Section 135,2
Pathavīsuttaṃ,,Section Title: sn.2.2/Section 78 | Section Title: sn.2.4/Section 125,2
Paṭhamagilānasuttaṃ,,Section Title: sn.5.2/Section 195 | Section Title: sn.4.1/Section 74,2
Paṭhamamārapāsasuttaṃ,,Section Title: sn.1.4/Section 140 | Section Title: sn.4.1/Section 114,2
Paṭhamanatumhākaṃsuttaṃ,,Section Title: sn.4.1/Section 101 | Section Title: sn.4.1/Section 138,2
Paṭhamaphalasuttaṃ,,Section Title: sn.5.4/Section 535 | Section Title: sn.5.7/Section 837,2
Paṭhamasaññāsuttaṃ,,Section Title: an5.7/Section 61 | Section Title: an7.5/Section 48,2
Paṭhamavibhaṅgasuttaṃ,,Section Title: sn.5.4/Section 479 | Section Title: sn.5.4/Section 506,2
Paṭhamaānandasuttaṃ,,Section Title: sn.5.7/Section 839 | Section Title: sn.4.2/Section 263,2
