# Pali Buddhist Terms for Translation
# Total: 1603 terms
# Format: Pali Term | Usage Count | Sample Context

Jarāmaraṇasuttaṃ | 2 uses | Section Title: sn.2.1/Section 71
Jarāvaggo | 2 uses | Vagga Title: sn.5.4/Section 511
Jaṭāsuttaṃ | 2 uses | Section Title: sn.1.1/Section 23
Jāṇussoṇisuttaṃ | 2 uses | Section Title: sn.2.1/Section 47
Khandhasuttaṃ | 2 uses | Section Title: sn.5.12/Section 1083
Kimilasuttaṃ | 2 uses | Section Title: an5.21/Section 201
Kodhanasuttaṃ | 2 uses | Section Title: sn.4.3/Section 284
Kokālikasuttaṃ | 2 uses | Section Title: sn.1.6/Section 178
Kūṭasuttaṃ | 2 uses | Section Title: sn.2.9/Section 223
Kūṭāgārasuttaṃ | 2 uses | Section Title: sn.5.12/Section 1114
Maccharisuttaṃ | 2 uses | Section Title: sn.1.1/Section 32
Maccharīsuttaṃ | 2 uses | Section Title: sn.4.3/Section 287
Maggasuttaṃ | 2 uses | Section Title: sn.5.3/Section 409
Mallikāsuttaṃ | 2 uses | Section Title: sn.1.3/Section 119
Muṭṭhassatisuttaṃ | 2 uses | Section Title: sn.4.3/Section 292
Mātugāmasuttaṃ | 2 uses | Section Title: sn.2.6/Section 170
Mātusuttaṃ | 2 uses | Section Title: sn.2.4/Section 137
Nakhasikhasuttaṃ | 2 uses | Section Title: sn.5.12/Section 1121
Nandanasuttaṃ | 2 uses | Section Title: sn.1.1/Section 11
Nandasuttaṃ | 2 uses | Section Title: sn.2.10/Section 242
Nandatisuttaṃ | 2 uses | Section Title: sn.1.1/Section 12
Nidānasuttaṃ | 2 uses | Section Title: sn.2.1/Section 60
Nirayasuttaṃ | 2 uses | Section Title: an5.15/Section 145
Nirodhasuttaṃ | 2 uses | Section Title: sn.5.2/Section 257
Oghādisuttaṃ | 2 uses | Section Title: sn.5.2/Section 302
Pabbatasuttaṃ | 2 uses | Section Title: sn.2.2/Section 82
Paccayasuttaṃ | 2 uses | Section Title: sn.2.1/Section 20
Pajjotasuttaṃ | 2 uses | Section Title: sn.1.1/Section 26
Parisāsuttaṃ | 2 uses | Section Title: an3.10/Section 96
Pathavīsuttaṃ | 2 uses | Section Title: sn.2.2/Section 78
Paṭhamagilānasuttaṃ | 2 uses | Section Title: sn.5.2/Section 195
Paṭhamamārapāsasuttaṃ | 2 uses | Section Title: sn.1.4/Section 140
Paṭhamanatumhākaṃsuttaṃ | 2 uses | Section Title: sn.4.1/Section 101
